Name,Style,Strengths,Weaknesses
Scott Morris,brawler,"powerful striking, aggressive pace, high durability","limited grappling, susceptibility to counterattacks, stamina management"
Sean Daugherty,technician,"precise striking, excellent footwork, strong fight IQ","lack of knockout power, sometimes overly cautious, struggles against pressure fighters"
Patrick Smith,submission specialist,"high-level grappling, effective transitions, strong submission game","striking defense issues, can be taken down, slow start in fights"
Ray Wizard,pressure wrestler,"relentless takedown attempts, cardio for grappling, ground control","limited striking skills, can be outpaced, vulnerable to submissions"
Johnny Rhodes,counter striker,"sharp reflexes, effective counters, solid defensive skills","passive at times, can struggle with aggressive opponents, low volume striking"
David Levicki,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, can be overly aggressive, stamina issues"
Frank Hamaker,submission specialist,"high-level grappling, creative submissions, strong positional control","struggles in stand-up exchanges, can be taken down, slower pace"
Thaddeus Luster,pressure wrestler,"relentless takedown attempts, cardio for extended grappling, effective ground and pound","vulnerable to counter-strikes, limited striking variety, can tire out"
Orlando Wiet,brawler,"aggressive striking, high volume of punches, strong chin","defensive lapses, lacks technical finesse, susceptible to submissions"
Robert Lucarelli,technician,"well-rounded skill set, tactical fight IQ, effective at range","can be too cautious, struggles against aggressive fighters, limited knockout power"
Remco Pardoel,submission specialist,"high-level grappling, effective submissions, good positional control","striking defense, limited striking output, can be taken down"
Alberta Cerra Leon,striker,"powerful striking, excellent footwork, strong kicks","vulnerable to takedowns, limited grappling skills, can be overly aggressive"
Jason DeLucia,well-rounded fighter,"versatile skill set, solid grappling and striking, good fight IQ","inconsistent performance, can struggle against elite competition, sometimes hesitant to engage"
Scott Baker,pressure wrestler,"relentless pace, effective takedowns, strong ground control","limited striking skills, can tire out, susceptible to counter-strikes"
Royce Gracie,grappling specialist,"elite Brazilian Jiu-Jitsu, exceptional submission skills, strategic grappling","striking limitations, can be outpaced, vulnerable to powerful strikers"
Minoki Ichihara,striker,"effective striking combinations, good footwork, strong defensive skills","limited grappling, struggles against pressure fighters, inconsistent fight pace"
Fred Ettish,grappler,"solid wrestling base, effective submissions, good cardio","striking defense issues, lacks knockout power, can be outpaced"
Keith Hackney,brawler,"powerful striking, resilience, aggressive fighting style","defensive vulnerabilities, limited technical grappling, can gas out"
Emmanuel Yarborough,pressure wrestler,"immense size and strength, effective takedowns, ground control","limited striking ability, struggles with speed, cardio concerns in later rounds"
Ken Shamrock,submission specialist,"expert grappling skills, strong submissions, experienced in cage control","aging athleticism, striking vulnerabilities, can be overwhelmed by aggressive opponents"
Christophe Leninger,striker,"powerful punches, effective kicks, good footwork","defensive vulnerabilities, limited grappling skills, stamina issues"
Harold Howard,karate-based striker,"fast striking, excellent range control, strong counterattacks","grappling defense, susceptibility to pressure, inconsistent output"
Roland Payne,submission specialist,"high-level grappling, creative submissions, strong positional control","striking defense, reliance on ground game, slower pace"
Kimo Leopoldo,brawler,"aggressive fighting style, resilience, knockout power","poor technique, limited strategy, cardio concerns"
Felix Lee Mitchell,technical striker,"precision striking, tactical awareness, solid defense","lack of finishing ability, grappling limitations, cautious approach"
Steve Jennum,brawler,"powerful striking, aggressive approach, resilience","limited technical grappling, susceptibility to counterstrikes, stamina issues"
Joe Charles,submission specialist,"high-level grappling, excellent submission skills, adaptability","striking defense, reliance on ground game, can be outpaced"
Kevin Rosier,striker,"explosive striking, effective kickboxing, strong clinch work","defensive grappling, cardio concerns, tendency to engage in brawls"
,,,
Marcus Bossett,pressure wrestler,"relentless takedown attempts, strong positional control, cardio","limited striking versatility, vulnerability to submissions, can be outmaneuvered"
Eldo Xavier Dias,striker,"powerful punches, excellent footwork, strong clinch game","defensive vulnerabilities, limited grappling skills, stamina concerns"
Guy Mezger,all-rounder,"versatile skill set, effective striking and grappling, strong fight IQ","inconsistent performance, occasional over-reliance on striking, can be outpaced"
Jason Fairn,brawler,"aggressive striking, knockout power, resilience in exchanges","defensive lapses, limited technical grappling, susceptibility to counterattacks"
